ID	X	Y	DISTANCIA	TEMPO_BUS	TEMPO_CARRO	PRECO_BUS	PRECO_CARRO	RENDA	ESCOLHA	Prob_1_RedesNeurais
384	5.25	3.2	0.74	2.23	1.11	1.5	0.63	4	0	0.004
385	4.75	3.25	0.79	2.3	1.19	1.5	0.67	4	0	0.004
386	5	3.25	0.75	2.24	1.13	1.5	0.64	4	0	0.004
387	5.25	3.25	0.79	2.3	1.19	1.5	0.67	4	0	0.004
388	6.25	3.25	1.46	3.41	2.19	1.5	1.24	5	0	0.724
389	6.5	3.25	1.68	3.77	2.52	1.5	1.43	5	0	0.534
390	6.75	3.25	1.9	4.14	2.86	1.5	1.62	5	1	0.381
391	4.75	3.3	0.84	2.38	1.26	1.5	0.71	4	0	0.004
392	5	3.3	0.8	2.32	1.2	1.5	0.68	4	0	0.004
393	5.25	3.3	0.84	2.38	1.26	1.5	0.71	4	0	0.004
394	6.25	3.3	1.48	3.45	2.23	1.5	1.26	5	0	0.699
395	6.5	3.3	1.7	3.81	2.55	1.5	1.45	5	0	0.518
396	6.75	3.3	1.88	4.11	2.83	1.5	1.6	5	1	0.396
397	6.25	3.35	1.51	3.49	2.27	1.5	1.28	5	0	0.673
398	6.5	3.35	1.72	3.84	2.59	1.5	1.47	5	0	0.501
399	6.75	3.35	1.87	4.08	2.8	1.5	1.59	5	1	0.408
400	2.75	3.55	2.48	5.1	3.72	1.5	2.11	4	0	0
401	3	3.55	2.26	4.73	3.39	1.5	1.92	4	0	0
402	3.25	3.55	2.04	4.37	3.06	1.5	1.73	4	0	0
403	8.75	3.55	0.51	1.85	0.77	1.5	0.44	5	1	1
404	9	3.55	0.67	2.11	1.01	1.5	0.57	5	1	1
405	9.25	3.55	0.87	2.44	1.31	1.5	0.74	5	1	0.997
406	2.75	3.6	2.5	5.13	3.76	1.5	2.13	4	0	0
407	3	3.6	2.28	4.77	3.42	1.5	1.94	4	0	0
408	3.25	3.6	2.07	4.41	3.1	1.5	1.76	4	0	0
409	8.75	3.6	0.47	1.78	0.71	1.5	0.4	5	1	1
410	9	3.6	0.64	2.06	0.96	1.5	0.54	5	1	1
411	9.25	3.6	0.85	2.4	1.28	1.5	0.72	5	1	0.997
412	1.75	3.65	3.45	7.69	5.17	3	2.93	6	1	0.998
413	2	3.65	3.21	7.3	4.82	3	2.73	6	1	0.998
414	2.25	3.65	2.98	5.92	4.47	1.5	2.53	4	0	0
415	2.75	3.65	2.53	5.17	3.79	1.5	2.15	4	0	0
416	3	3.65	2.31	4.81	3.46	1.5	1.96	4	0	0
417	3.25	3.65	2.09	4.46	3.14	1.5	1.78	4	0	0
418	8.75	3.65	0.43	1.71	0.65	1.5	0.37	5	1	1
419	9	3.65	0.61	2.01	0.92	1.5	0.52	5	1	1
420	9.25	3.65	0.83	2.37	1.24	1.5	0.7	5	1	0.998
421	1.75	3.7	3.46	7.72	5.2	3	2.94	6	1	0.998
422	2	3.7	3.23	7.33	4.85	3	2.75	6	1	0.998
423	2.25	3.7	3	6.95	4.5	3	2.55	6	1	1
424	1.75	3.75	3.48	7.75	5.22	3	2.96	6	1	0.998
425	2	3.75	3.25	7.36	4.88	3	2.76	6	1	0.998
426	2.25	3.75	3.02	6.98	4.53	3	2.57	6	1	1
427	6.75	3.95	1.75	3.89	2.63	1.5	1.49	5	1	0.483
428	7	3.95	1.5	3.48	2.25	1.5	1.28	5	1	0.683
429	7.25	3.95	1.25	3.06	1.88	1.5	1.06	5	1	0.899
430	6.75	4	1.75	3.89	2.63	1.5	1.49	5	1	0.484
431	7	4	1.5	3.48	2.25	1.5	1.28	5	1	0.684
432	7.25	4	1.25	3.06	1.88	1.5	1.06	5	1	0.9
433	1.75	4.05	3.6	7.94	5.4	3	3.06	6	1	0.998
434	2	4.05	3.38	7.57	5.07	3	2.87	6	1	0.998
435	2.25	4.05	3.16	7.21	4.74	3	2.68	6	1	0.999
436	5.25	4.05	1.57	3.59	2.36	1.5	1.33	4	0	0.002
437	5.5	4.05	1.63	3.69	2.44	1.5	1.38	5	0	0.571
438	5.75	4.05	1.72	3.84	2.58	1.5	1.46	5	0	0.502
439	6.75	4.05	1.75	3.89	2.63	1.5	1.49	5	1	0.483
440	7	4.05	1.5	3.48	2.25	1.5	1.28	5	1	0.683
441	7.25	4.05	1.25	3.06	1.88	1.5	1.06	5	1	0.899
442	1.75	4.1	3.62	7.98	5.43	3	3.08	6	1	0.998
443	2	4.1	3.4	7.61	5.1	3	2.89	6	1	0.998
444	2.25	4.1	3.18	7.25	4.77	3	2.7	6	1	0.999
445	5.25	4.1	1.62	3.67	2.43	1.5	1.38	5	0	0.579
446	5.5	4.1	1.68	3.77	2.51	1.5	1.42	5	0	0.535
447	5.75	4.1	1.77	3.92	2.65	1.5	1.5	5	0	0.473
448	1.75	4.15	3.64	8.01	5.47	3	3.1	6	1	0.998
449	2	4.15	3.42	7.65	5.14	3	2.91	6	1	0.998
450	2.25	4.15	3.21	7.29	4.81	3	2.73	6	1	0.999
451	3.25	4.15	2.41	4.97	3.61	1.5	2.04	4	0	0
452	3.5	4.15	2.23	4.68	3.34	1.5	1.9	4	0	0
453	3.75	4.15	2.07	4.42	3.11	1.5	1.76	4	0	0
454	5.25	4.15	1.67	3.75	2.5	1.5	1.42	5	0	0.54
455	5.5	4.15	1.72	3.84	2.59	1.5	1.47	5	0	0.501
456	5.75	4.15	1.81	3.99	2.72	1.5	1.54	5	0	0.444
457	8.75	4.15	0.29	1.48	0.44	1.5	0.25	5	1	1
458	9	4.15	0.52	1.86	0.78	1.5	0.44	5	1	1
459	9.25	4.15	0.76	2.26	1.15	1.5	0.65	5	1	0.999
460	3.25	4.2	2.44	5.03	3.66	1.5	2.07	4	0	0
461	3.5	4.2	2.27	4.74	3.4	1.5	1.93	4	0	0
462	3.75	4.2	2.11	4.48	3.17	1.5	1.79	4	0	0
463	8.75	4.2	0.32	1.53	0.48	1.5	0.27	5	1	1
464	9	4.2	0.54	1.89	0.81	1.5	0.46	5	1	1
465	9.25	4.2	0.78	2.28	1.16	1.5	0.66	5	1	0.999
466	9.75	4.2	1.27	3.09	1.9	1.5	1.08	6	1	1
467	10	4.2	1.51	3.5	2.27	1.5	1.29	6	1	1
468	3.25	4.25	2.47	5.08	3.71	1.5	2.1	4	0	0
469	3.5	4.25	2.3	4.8	3.46	1.5	1.96	4	0	0
470	3.75	4.25	2.15	4.55	3.23	1.5	1.83	4	0	0
471	8.75	4.25	0.35	1.58	0.53	1.5	0.3	5	1	1
472	9	4.25	0.56	1.92	0.84	1.5	0.48	5	1	1
473	9.25	4.25	0.79	2.3	1.19	1.5	0.67	5	1	0.999
474	9.75	4.25	1.27	3.1	1.91	1.5	1.08	6	1	1
475	10	4.25	1.52	3.51	2.28	1.5	1.29	6	1	1
476	9.75	4.3	1.29	3.12	1.93	1.5	1.09	6	1	1
477	10	4.3	1.53	3.52	2.29	1.5	1.3	6	1	1
478	4.25	4.35	2	4.29	2.99	1.5	1.7	4	0	0
479	4.5	4.35	1.92	4.16	2.87	1.5	1.63	5	0	0.37
480	4.75	4.35	1.87	4.08	2.8	1.5	1.59	5	0	0.408
481	9.75	4.35	1.3	3.14	1.95	1.5	1.1	6	1	1
482	10	4.35	1.54	3.54	2.31	1.5	1.31	6	1	1
483	0.25	4.4	5.12	10.44	7.67	3	4.35	7	1	0.992
484	0.5	4.4	4.88	10.06	7.33	3	4.15	7	1	0.994
485	0.75	4.4	4.66	9.68	6.98	3	3.96	7	1	0.996
486	4.25	4.4	2.04	4.37	3.06	1.5	1.74	5	0	0.197
487	4.5	4.4	1.96	4.24	2.95	1.5	1.67	5	0	0.321
488	4.75	4.4	1.92	4.16	2.87	1.5	1.63	5	0	0.37
489	0.25	4.45	5.13	10.47	7.7	3	4.36	7	1	0.992
490	0.5	4.45	4.9	10.09	7.36	3	4.17	7	1	0.994
491	0.75	4.45	4.68	9.72	7.01	3	3.97	7	1	0.996
492	4.25	4.45	2.09	4.45	3.13	1.5	1.78	5	0	0.106
493	4.5	4.45	2.01	4.32	3.02	1.5	1.71	5	0	0.251
494	4.75	4.45	1.97	4.24	2.95	1.5	1.67	5	0	0.319
495	0.25	4.5	5.15	10.5	7.73	3	4.38	7	1	0.992
496	0.5	4.5	4.92	10.13	7.39	3	4.19	7	1	0.994
497	0.75	4.5	4.7	9.75	7.05	3	3.99	7	1	0.996
498	0.25	4.55	5.17	10.54	7.76	3	4.4	7	1	0.992
499	0.5	4.55	4.94	10.16	7.42	3	4.2	7	1	0.994
500	0.75	4.55	4.72	9.79	7.08	3	4.01	7	1	0.996
501	5.75	4.65	2.28	4.76	3.42	1.5	1.94	5	0	0
502	6	4.65	2.37	4.91	3.56	1.5	2.02	5	0	0
503	6.25	4.65	2.49	5.1	3.73	1.5	2.11	6	0	0.008
504	5.75	4.7	2.32	4.84	3.49	1.5	1.98	5	0	0
505	6	4.7	2.42	4.99	3.62	1.5	2.05	5	0	0
506	6.25	4.7	2.53	5.18	3.8	1.5	2.15	6	0	0.001
507	4.75	4.75	2.26	4.74	3.4	1.5	1.92	5	0	0
508	5	4.75	2.25	4.71	3.38	1.5	1.91	5	0	0.001
509	5.25	4.75	2.26	4.74	3.4	1.5	1.92	5	0	0
510	5.75	4.75	2.37	4.91	3.56	1.5	2.02	5	0	0
511	6	4.75	2.46	5.06	3.69	1.5	2.09	6	0	0.023
512	6.25	4.75	2.57	5.25	3.86	1.5	2.19	6	0	0
513	6.5	4.75	2.7	5.46	4.06	1.5	2.3	6	0	0
514	6.75	4.75	1.9	4.14	2.86	1.5	1.62	5	1	0.381
515	7.75	4.75	1.06	2.75	1.59	1.5	0.9	5	1	0.977
516	8	4.75	0.9	2.49	1.35	1.5	0.77	5	1	0.995
517	8.25	4.75	0.79	2.3	1.19	1.5	0.67	5	1	0.999
518	4.75	4.8	2.31	4.82	3.47	1.5	1.97	5	0	0
519	5	4.8	2.3	4.8	3.45	1.5	1.96	5	0	0
520	5.25	4.8	2.31	4.82	3.47	1.5	1.97	5	0	0
521	6.25	4.8	2.62	5.32	3.93	1.5	2.23	6	0	0
522	6.5	4.8	2.75	5.53	4.12	1.5	2.33	6	0	0
523	6.75	4.8	1.92	4.17	2.89	1.5	1.64	5	1	0.363
524	7.75	4.8	1.1	2.81	1.64	1.5	0.93	5	1	0.969
525	8	4.8	0.94	2.56	1.42	1.5	0.8	5	1	0.993
526	8.25	4.8	0.84	2.38	1.26	1.5	0.71	5	1	0.998
527	1.25	4.85	4.43	9.3	6.64	3	3.76	7	1	0.997
528	1.5	4.85	4.22	8.96	6.32	3	3.58	7	1	0.997
529	1.75	4.85	4.01	8.62	6.02	3	3.41	7	1	0.998
530	4.75	4.85	2.36	4.9	3.54	1.5	2.01	5	0	0
531	5	4.85	2.35	4.88	3.53	1.5	2	5	0	0
532	5.25	4.85	2.36	4.9	3.54	1.5	2.01	5	0	0
533	6.25	4.85	2.66	5.39	3.99	1.5	2.26	6	0	0
534	6.5	4.85	2.79	5.6	4.18	1.5	2.37	6	0	0
535	6.75	4.85	1.95	4.21	2.92	1.5	1.65	5	1	0.342
536	7.75	4.85	1.13	2.87	1.7	1.5	0.96	5	1	0.957
537	8	4.85	0.99	2.63	1.48	1.5	0.84	5	1	0.989
538	8.25	4.85	0.89	2.46	1.33	1.5	0.75	5	1	0.996
539	9.25	4.85	1.13	2.87	1.7	1.5	0.96	6	1	1
540	9.5	4.85	1.31	3.17	1.97	1.5	1.12	6	1	1
541	9.75	4.85	1.51	3.49	2.27	1.5	1.28	6	1	1
542	1.25	4.9	4.45	9.35	6.68	3	3.78	7	1	0.997
543	1.5	4.9	4.24	9	6.37	3	3.61	7	1	0.997
544	1.75	4.9	4.04	8.67	6.06	3	3.43	7	1	0.998
545	2.25	4.9	3.65	8.02	5.48	3	3.1	7	1	0.998
546	2.5	4.9	3.47	7.72	5.2	3	2.95	7	1	0.998
547	2.75	4.9	3.29	7.43	4.93	3	2.8	7	1	0.998
548	3.75	4.9	2.71	5.46	4.06	1.5	2.3	5	0	0
549	4	4.9	2.6	5.29	3.9	1.5	2.21	5	0	0
550	4.25	4.9	2.51	5.15	3.77	1.5	2.14	5	0	0
551	8.25	4.9	0.93	2.54	1.4	1.5	0.79	5	1	0.993
552	8.5	4.9	0.9	2.49	1.35	1.5	0.77	5	1	0.995
553	8.75	4.9	0.93	2.54	1.4	1.5	0.79	5	1	0.993
554	9.25	4.9	1.17	2.93	1.76	1.5	1	6	1	1
555	9.5	4.9	1.35	3.22	2.02	1.5	1.14	6	1	1
556	9.75	4.9	1.54	3.54	2.31	1.5	1.31	6	1	1
557	1.25	4.95	4.48	9.39	6.72	3	3.81	7	1	0.997
558	1.5	4.95	4.27	9.05	6.41	3	3.63	7	1	0.997
559	1.75	4.95	4.07	8.72	6.11	3	3.46	7	1	0.998
560	2.25	4.95	3.68	8.08	5.52	3	3.13	7	1	0.998
561	2.5	4.95	3.5	7.78	5.25	3	2.98	7	1	0.998
562	2.75	4.95	3.33	7.49	4.99	3	2.83	7	1	0.998
563	3.75	4.95	2.75	5.54	4.13	1.5	2.34	5	0	0
564	4	4.95	2.65	5.37	3.97	1.5	2.25	5	0	0
565	4.25	4.95	2.56	5.23	3.84	1.5	2.18	5	0	0
566	8.25	4.95	0.98	2.62	1.47	1.5	0.83	5	1	0.989
567	8.5	4.95	0.95	2.57	1.43	1.5	0.81	5	1	0.992
568	8.75	4.95	0.98	2.62	1.47	1.5	0.83	5	1	0.989
569	9.25	4.95	1.21	3	1.82	1.5	1.03	6	1	1
570	9.5	4.95	1.38	3.28	2.07	1.5	1.17	6	1	1
571	9.75	4.95	1.57	3.59	2.36	1.5	1.33	6	1	1
572	2.25	5	3.72	8.13	5.57	3	3.16	7	1	0.998
573	2.5	5	3.54	7.83	5.3	3	3.01	7	1	0.998
574	2.75	5	3.36	7.55	5.05	3	2.86	7	1	0.998
575	3.75	5	2.8	5.61	4.19	1.5	2.38	5	0	0
576	4	5	2.69	5.44	4.04	1.5	2.29	5	0	0
577	4.25	5	2.61	5.31	3.92	1.5	2.22	5	0	0
578	8.25	5	1.03	2.7	1.55	1.5	0.88	5	1	0.983
579	8.5	5	1	2.65	1.5	1.5	0.85	5	1	0.987
580	8.75	5	1.03	2.7	1.55	1.5	0.88	6	1	1
